,subject,topic_label
18422,we have received your dispute case #06244419!,Disputes and Cases
18423,we have received your dispute case #06244421!,Disputes and Cases
18424,make you a priority in 2024. explore meditative makes to unwind your mind.,System Notifications
18425,sears marketplace notification - products in your catalog have been reinstated,Delivery Status and Failures
18426,optimize your walmart presence: exclusive keyword ranking offer!,Promotions and Offers
18427,we have received your dispute case #06243826!,Disputes and Cases
18428,your dispute cases have received a resolution,Disputes and Cases
18429,we have received your dispute case #06243727!,Disputes and Cases
18430,we have received your dispute case #06243657!,Disputes and Cases
18431,we have received your dispute case #06243578!,Disputes and Cases
18432,we have received your dispute case #06243450!,Disputes and Cases
18433,"johnc4294 has sent a question about item #364561145615, ending on 03-feb-2024 12:13:18 ist - advantage signature elite java church chair - 20 in. wide",Delivery Status and Failures
18434,item sopt/opt override processing complete,Invoices and Support
18435,nan,Miscellaneous/Unknown
18436,feed errors report,Customer Inquiries
18437,updates for you: 4 new notifications,New Orders and Shipments
18438,your fedex claim has been denied,Customer Inquiries
18439,we have received your dispute case #06242969!,Disputes and Cases
18440,we have received your dispute case #06242970!,Disputes and Cases
18441,we have received your dispute case #06242971!,Disputes and Cases
18442,innovative and exciting: the rising popularity of backpack billboards,Customer Messages
18443,a customer is waiting for an answer on gearwrench ratcheting...,Customer Messages
18444,nan,Miscellaneous/Unknown
18445,i am amazon & walmart  reviewer  admin.,New Orders and Shipments
18446,we have updated your fedex claim resolution,Promotions and Offers
18447,i am amazon & walmart  reviewer  admin.,New Orders and Shipments
18448,re:i am amazon & walmart reviewer admin. ticket# 450858,New Orders and Shipments
18449,i am amazon & walmart  reviewer  admin.,New Orders and Shipments
18450,re:i am amazon & walmart reviewer admin. ticket# 450859,New Orders and Shipments
18451,i am amazon & walmart  reviewer  admin.,New Orders and Shipments
18452,follow - up for order id #vv-us-cda-27816,Order Requests and Tickets
18453,jono3314 sent a message about paw puprug faux fur orthopedic dog bed white #355121270252,System Notifications
18454,explore import export market from december-2023 trade insights,System Notifications
18455,detected login from a new location,New Orders and Shipments
18456,order manifest for 01/10/2024 12:01:00,Order Requests and Tickets
18457,"new customer message on january 9, 2024 at 11:04 pm",Customer Messages
18458,your funds were sent to your bank account.,Customer Messages
18459,nan,Miscellaneous/Unknown
18460,"melrose international  drop ship order 973090,   po melr-1342 has been received.  virventures inc (drop ship).",Disputes and Cases
18461,nan,Miscellaneous/Unknown
18462,get your products featured on houzz!,Customer Messages
18463,buybox items details report is ready.,Customer Inquiries
18464,we have received your dispute case #06229600!,Disputes and Cases
18465,"accept or counter $67.00 for bundle for shondia cannon, ends in 18 hours.",System Notifications
18466,nan,Miscellaneous/Unknown
18467,you have a message waiting for you,Customer Messages
18468,victorihackbart-0 sent a message about toy chest - na - natural #126131332818,Customer Messages
18469,rickyaugie4595 sent a message about 1-100 hss single flute countersink,Delivery Status and Failures
18470,inquiry from amazon customer grace,Customer Inquiries
18471,re: christene9977 sent a message about lux-hq foam - standard mattress - 1/2 - twin long 39 x 80 #195976214910,Delivery Status and Failures
18472,inquiry from amazon customer mary crump,Customer Inquiries
18473,follow - up for order id #vv-us-cdb-35789,Order Requests and Tickets
18474,we have received your dispute case #06228918!,Disputes and Cases
18475,sears marketplace notification - urgent message regarding the status of your products,Delivery Status and Failures
18476,your fedex claims status has been updated,Customer Inquiries
18477,your payment is on its way,Disputes and Cases
18478,delivery status notification (failure),Delivery Status and Failures
18479,your email to amazon.com marketplace,New Orders and Shipments
18480,wilgr_96 sent a message about 1996-2002 gmc savana (only fit vehicles with chrome ring around grille shell)... #195904263436,Delivery Status and Failures
18481,your dispute case #06204440 is closed,Disputes and Cases
18482,we are here to help!    [ ref:!00d700kccm.!5004u031nss5:ref ],Customer Messages
18483,we are here to help!    [ ref:!00d700kccm.!5004u031nsjn:ref ],Customer Messages
18484,we are here to help!    [ ref:!00d700kccm.!5004u031nsom:ref ],Customer Messages
18485,we are here to help!    [ ref:!00d700kccm.!5004u031nsgs:ref ],Customer Messages
18486,take action: one or more of your offers are not eligible to be a featured offer (buy box),Promotions and Offers
18487,4 new walmart marketplace orders received,New Orders and Shipments
18488,we are here to help!    [ ref:!00d700kccm.!5004u031nrro:ref ],Customer Messages
18489,youâ€™ve received an offer for dimplex ebony covertable corner electric fireplace #5568.,Customer Messages
18490,virventures tracking report from advanced graphics 01/09/2024,Customer Inquiries
18491,shipping inquiry from amazon customer maxine berman,Customer Inquiries
18492,we have a date: social media and influencer trends in 2024,System Notifications
18493,[case id:14595568851]*your help needed* request order reimbursement,Disputes and Cases
18494,return policy inquiry from amazon customer eric dobson,Customer Inquiries
18495,5ave - shipped order notification,Order Requests and Tickets
18496,youâ€™ve received an offer for bundle for shondia cannon.,Promotions and Offers
18497,"re: tenngu-40 has sent a question about item #195904215479, ending on 25-dec-2023 17:38:41 ist - sandwich pal puppet",Delivery Status and Failures
18498,credit memo from aps,System Notifications
18499,"tenngu-40 has sent a question about item #195904215479, ending on 25-jan-2024 17:38:41 ist - sandwich pal puppet",Delivery Status and Failures
18500,rts refund for salesorder# 200011688098539,Customer Messages
18501,"hm, no writing activity last week?",Promotions and Offers
18502,"ups ship notification, tracking number 1zy15r890313664437",Delivery Status and Failures
18503,credit memo for vir ventures inc. for invoice number - inv-16524402,Invoices and Support
18504,"message from walmart.com customer, ref id: 8b928ac9219f4512bb29d3b8b35f6953",Customer Messages
18505,credit memo for vir ventures inc. for invoice number - inv-16276786,Invoices and Support
18506,credit memo for vir ventures inc. for invoice number - inv-16613145,Invoices and Support
18507,credit memo for vir ventures inc. for invoice number - inv-16609417,Invoices and Support
18508,credit memo for vir ventures inc. for invoice number - inv-16611166,Invoices and Support
18509,credit memo for vir ventures inc. for invoice number - inv-16497160,Invoices and Support
18510,shipping: jono3314 sent a message about paw puprug faux fur orthopedic dog bed white #355121270252,System Notifications
18511,credit memo for vir ventures inc. for invoice number - inv-16543995,Invoices and Support
18512,credit memo for vir ventures inc. for invoice number - inv-16470862,Invoices and Support
18513,5chevelle sent a message about afi mission solid hardwood side table set of 2 walnut #364594627515,Customer Messages
18514,credit memo for vir ventures inc. for invoice number - inv-16598046,Invoices and Support
18515,your e-mail to josue ramirezortega,Miscellaneous/Unknown
18516,credit memo for vir ventures inc. for invoice number - inv-16578977,Invoices and Support
18517,credit memo for vir ventures inc. for invoice number - inv-16536147,Invoices and Support
18518,credit memo for vir ventures inc. for invoice number - inv-16605085,Invoices and Support
18519,"youâ€™ve got a chat message for vickerman 22 red poinsettia artificial christmas flower #41837.""",Customer Messages
18520,"youâ€™ve got a chat message for 8 moss green ice ball ornament 2/bag #42740.""",Customer Messages
18521,credit memo for vir ventures inc. for invoice number - inv-16612390,Invoices and Support
18522,authenticate and add a dmarc record to continue sending emails from your domain,Delivery Status and Failures
18523,credit memo for vir ventures inc. for invoice number - inv-16369712,Invoices and Support
18524,credit memo for vir ventures inc. for invoice number - inv-16459376,Invoices and Support
18525,credit memo for vir ventures inc. for invoice number - inv-16597966,Invoices and Support
18526,credit memo for vir ventures inc. for invoice number - inv-16519340,Invoices and Support
18527,amazon has shipped your sold item(s),Order Requests and Tickets
18528,credit memo for vir ventures inc. for invoice number - inv-16431713,Invoices and Support
18529,credit memo for vir ventures inc. for invoice number - inv-16548496,Invoices and Support
18530,insider tips on getting more residential leads,Customer Messages
18531,credit memo for vir ventures inc. for invoice number - inv-16356639,Invoices and Support
18532,credit memo for vir ventures inc. for invoice number - inv-16521637,Invoices and Support
18533,credit memo for vir ventures inc. for invoice number - inv-16340823,Invoices and Support
18534,"ups ship notification, tracking number  1z4r08w00313998233",Delivery Status and Failures
18535,credit memo for vir ventures inc. for invoice number - inv-16611091,Invoices and Support
18536,your package has arrived: frozen branch picks set of 12 #39355,Miscellaneous/Unknown
18537,credit memo for vir ventures inc. for invoice number - inv-16591618,Invoices and Support
18538,inquiry from amazon customer ××”×¨×•×ÿ ×•×œ×•×¡×§×™,Customer Inquiries
18539,credit memo for vir ventures inc. for invoice number - inv-16571068,Invoices and Support
18540,credit memo for vir ventures inc. for invoice number - inv-16546456,Invoices and Support
18541,credit memo for vir ventures inc. for invoice number - inv-16592427,Invoices and Support
18542,credit memo for vir ventures inc. for invoice number - inv-16550750,Invoices and Support
18543,credit memo for vir ventures inc. for invoice number - inv-16554614,Invoices and Support
18544,credit memo for vir ventures inc. for invoice number - inv-16585009,Invoices and Support
18545,credit memo for vir ventures inc. for invoice number - inv-16503052,Invoices and Support
18546,credit memo for vir ventures inc. for invoice number - inv-16590976,Invoices and Support
18547,credit memo for vir ventures inc. for invoice number - inv-16512114,Invoices and Support
18548,credit memo for vir ventures inc. for invoice number - inv-16493324,Invoices and Support
18549,credit memo for vir ventures inc. for invoice number - inv-16495999,Invoices and Support
18550,youâ€™ve got a chat message for frozen branch picks set of 12 #39355.,Customer Messages
18551,credit memo for vir ventures inc. for invoice number - inv-16554549,Invoices and Support
18552,incorrect account: order 33425 acknowledgement for order# ge1779,Order Requests and Tickets
18553,orders shipped. credit card declined,System Notifications
18554,remote support and collaboration tools for your business- december 2023,Invoices and Support
18555,inside: guide to 2024 color trends for imprintable apparel,Promotions and Offers
18556,ticket has been created for order id #vv-us-cdb-35738,Order Requests and Tickets
18557,order cancelation request for order id: 114-6953258-1826642,Order Requests and Tickets
18558,re: [external],Customer Inquiries
18559,raidersa-0 sent a message about blue yo yo flashing light up toys #355029966610,Delivery Status and Failures
18560,"geektechtrove sent a message about tru-spec-tour of duty backpack,multi-cam black,500d cordura nylon, 31 liter #134667630770",Delivery Status and Failures
18561,product details inquiry from amazon customer vernon h. gottel,Customer Inquiries
18562,new video on our channel,New Orders and Shipments
18563,credit memo for vir ventures inc. for invoice number - inv-16587173,Invoices and Support
18564,credit memo for vir ventures inc. for invoice number - inv-16537276,Invoices and Support
18565,"thomasp_5 sent a message about maxxair 00a04401k maxxfan vent std 14 manual - black #355260718453""",Delivery Status and Failures
18566,act now & help drive sales: claim your $500 sem reimbursement today,System Notifications
18567,credit memo for vir ventures inc. for invoice number - inv-16566395,Invoices and Support
18568,khbkp95 sent a message about placemat dark green set of 6 #355023786682,Delivery Status and Failures
18569,credit memo for vir ventures inc. for invoice number - inv-16498038,Invoices and Support
18570,credit memo for vir ventures inc. for invoice number - inv-16519993,Invoices and Support
18571,credit memo for vir ventures inc. for invoice number - inv-16566565,Invoices and Support
18572,we have created this case 06230658 on your behalf    [ ref:!00d610zktc.!5008y02ljbk8:ref ],Customer Messages
18573,true fabrications: credit memo 199207cm,System Notifications
18574,true fabrications: credit memo 199204cm,System Notifications
18575,credit memo for vir ventures inc. for invoice number - inv-16550232,Invoices and Support
18576,snugs2 sent a message about vidaxl camping tent 4 persons navy blue/green #195980981351,Delivery Status and Failures
18577,new year = fresh fine art deals!,Promotions and Offers
18578,[bambini infant wear] bam27478 package in transit,Miscellaneous/Unknown
18579,credit memo for vir ventures inc. for invoice number - inv-16613364,Invoices and Support
18580,want to do more this year?,Disputes and Cases
18581,antrob0723 sent a message about dallas cowboys 6 ft. x 10 ft. plush area rug #196020881623,Customer Messages
18582,the post most: 4 key takeaways from trumpâ€™s presidential immunity hearing,New Orders and Shipments
18583,true fabrications: credit memo 199197cm,System Notifications
18584,credit memo for vir ventures inc. for invoice number - inv-16521991,Invoices and Support
18585,ticket has been created for order id #vv-in-138789,Order Requests and Tickets
18586,"djhost65 has sent a question about item #364570193708, ending on 08-feb-2024 20:42:44 ist - humboldt county is own starter pack",Delivery Status and Failures
18587,credit memo for vir ventures inc. for invoice number - inv-16501532,Invoices and Support
18588,you have been rated: frozen branch picks set of 12 #39355,Customer Messages
18589,true fabrications: credit memo 199194cm,System Notifications
18590,true fabrications: credit memo 199193cm,System Notifications
18591,credit memo for vir ventures inc. for invoice number - inv-16581172,Invoices and Support
18592,credit memo for vir ventures inc. for invoice number - inv-16162012,Invoices and Support
18593,credit memo for vir ventures inc. for invoice number - inv-16554607,Invoices and Support
18594,credit memo for vir ventures inc. for invoice number - inv-16512327,Invoices and Support
18595,invoice from aps,Invoices and Support
18596,fw: 613283761,New Orders and Shipments
18597,marie-france sent a message about hamiltonbuhl 80 diag. (39x68) portable floor rising screen,Miscellaneous/Unknown
18598,we are here to help!    [ ref:!00d700kccm.!5004u031nnrg:ref ],Customer Messages
18599,"your package has arrived: national tree travel safe spinner suitcase-color:silver,size:20 #23452""",Promotions and Offers
18600,we are here to help!    [ ref:!00d700kccm.!5004u031nnc2:ref ],Customer Messages
18601,we are here to help!    [ ref:!00d700kccm.!5004u031nneq:ref ],Customer Messages
18602,your email to amazon.ca marketplace,New Orders and Shipments
18603,product details inquiry from amazon customer sandra l. nesbit,Customer Inquiries
18604,we are here to help!    [ ref:!00d700kccm.!5004u031nnek:ref ],Customer Messages
18605,we are here to help!    [ ref:!00d700kccm.!5004u031nl28:ref ],Customer Messages
18606,your e-mail to timothy lambert,Miscellaneous/Unknown
18607,we are here to help!    [ ref:!00d700kccm.!5004u031nnf6:ref ],Customer Messages
18608,we are here to help!    [ ref:!00d700kccm.!5004u031nnp6:ref ],Customer Messages
18609,order cancelation request for order id: 112-6059841-0685054,Order Requests and Tickets
18610,we are here to help!    [ ref:!00d700kccm.!5004u031nmdo:ref ],Customer Messages
18611,your e-mail to vernon h. gottel,Miscellaneous/Unknown
18612,we are here to help!    [ ref:!00d700kccm.!5004u031nm8k:ref ],Customer Messages
18613,we are here to help!    [ ref:!00d700kccm.!5004u031nnso:ref ],Customer Messages
18614,we are here to help!    [ ref:!00d700kccm.!5004u031nnx6:ref ],Customer Messages
18615,we are here to help!    [ ref:!00d700kccm.!5004u031nndi:ref ],Customer Messages
18616,"your package has arrived: kleenex professional facial tissue for business (03076), flat 12 boxes  #77079",Delivery Status and Failures
18617,increase your walmart sales within a short time.,System Notifications
18618,"connect, discover your 2023 email trends!",New Orders and Shipments
18619,accelerate your amazon business growth with top tools,System Notifications
18620,3 new walmart marketplace orders received,New Orders and Shipments
18621,daily order snapshot report,Order Requests and Tickets
18622,wayfair winter clearance | heated gloves from $13 | $29 slow cooker,System Notifications
18623,product details inquiry from amazon customer kelsen frick,Customer Inquiries
18624,true fabrications: credit memo 199177cm,System Notifications
18625,true fabrications: credit memo 199178cm,System Notifications
18626,"thefeesr2high has sent a question about item #354959932850, ending on 04-feb-2024 19:26:39 ist - 13/16 x 1/2"" hss 4 flute single end end mill",Delivery Status and Failures
18627,new! brand term targeting is here,New Orders and Shipments
18628,true fabrications: credit memo 199162cm,System Notifications
18629,true fabrications: credit memo 199173cm,System Notifications
18630,true fabrications: credit memo 199174cm,System Notifications
18631,nan,Miscellaneous/Unknown
18632,grow your walmart sales within a short time.,System Notifications
18633,purell no charge dispenser promo extended into 2024! es10 dispensers now available!,System Notifications
18634,ticket has been created for order id #nonm-thp1300108592770233-2,Order Requests and Tickets
18635,walmart seller support resolved case # 06206081. please provide your feedback.,Disputes and Cases
18636,"customer, discover your 2023 email trends!",New Orders and Shipments
18637,credit memo for vir ventures inc. for invoice number - inv-16588575,Invoices and Support
18638,credit memo for vir ventures inc. for invoice number - inv-16541842,Invoices and Support
18639,6 new walmart marketplace orders received,New Orders and Shipments
18640,order shipped to your customer,Order Requests and Tickets
18641,credit memo for vir ventures inc. for invoice number - inv-16515253,Invoices and Support
18642,credit memo for vir ventures inc. for invoice number - inv-16591010,Invoices and Support
18643,meet our all-occasion gift guide,Promotions and Offers
18644,credit memo for vir ventures inc. for invoice number - inv-16568699,Invoices and Support
18645,offer expired for vidaxl paper log briquette maker steel 15&quot;x12.2&quot;x7.1&quot; black and red,Promotions and Offers
18646,amfc - ky - order processing ips logistix - january 09th 2024 - batch 01,Invoices and Support
18647,credit memo for vir ventures inc. for invoice number - inv-16546982,Invoices and Support
18648,your e-mail to tammi g williams,Customer Inquiries
18649,"23748633505, your monthly b2b in-demand product list for canada",Invoices and Support
18650,gireland-2012 sent a message about check valve quiet clr1.5 (pack of 1) #195905783407,Delivery Status and Failures
18651,2014-slafm sent a message about men is 11 engineer boot black,Promotions and Offers
18652,new order received,New Orders and Shipments
18653,consulta del cliente de amazon josue ramirezortega,Delivery Status and Failures
18654,whatâ€™s your newsprint reader type?,System Notifications
18655,"ups schedule delivery update, tracking number 1z4r08w00313990857",Promotions and Offers
18656,"ups schedule delivery update, tracking number  1z4r08w00313990848",Promotions and Offers
18657,we have created this case 06237081 on your behalf    [ ref:!00d610zktc.!5008y02ljmc0:ref ],Customer Messages
18658,unpaid past-due balance to tforce freight ltl: final notice,Order Requests and Tickets
18659,sla shipments,New Orders and Shipments
18660,"offer expired for &quot;caroline is treasures 8389pw1216 mardi gras canvas fabric decorative pillow, ...",Promotions and Offers
18661,offer expired for 18&quot; lime ornament pick 3/bg,Promotions and Offers
18662,"nandansons wholesale specials price list for january 9, 2024",Invoices and Support
18663,check out our new and our back-on-stock products!,New Orders and Shipments
18664,order confirmation,Customer Inquiries
18665,customer review notification,Delivery Status and Failures
18666,purchase-order clarification: vir ventures,Invoices and Support
18667,"offer expired for speaker - jensen vintage, 15&quot;, alnico p15n, 50 watts",Promotions and Offers
18668,re: [external] claim status update - case # c-134102721,Customer Inquiries
18669,are you confused?,Miscellaneous/Unknown
18670,"er_2711593 has sent a question about item #354964989639, ending on 07-feb-2024 13:52:56 ist - entertainment center",Delivery Status and Failures
18671,"char-broil, llcâ unauthorized reseller violation - merkatoos llc (walmart.com)",Invoices and Support
18672,this traffic makes affiliates rich...,Promotions and Offers
18673,introducing the chairish villa at the colony hotel,Customer Inquiries
18674,re: wholesale interiors - important notice,Invoices and Support
18675,re: 0[virventures#vir9f20d9d3],Customer Inquiries
18676,re: we have received your dispute case #06205408!    [ ref:!00d610zktc.!5008y02lirbf:ref ],Disputes and Cases
18677,we have received your case #06236619!,Disputes and Cases
18678,thank you for your request [email id: 18300882],Order Requests and Tickets
18679,new invoice 0609546 & tracking from pyramid time systems,System Notifications
18680,new invoice 0609533 & tracking from pyramid time systems,System Notifications
18681,new invoice 0609535 & tracking from pyramid time systems,System Notifications
18682,"it can support up to 1300 files, making it ideal for multimedia and interactive projects.âœ”ï¸",Invoices and Support
18683,new invoice 0609536 & tracking from pyramid time systems,System Notifications
18684,new invoice 0609538 & tracking from pyramid time systems,System Notifications
18685,new invoice 0609539 & tracking from pyramid time systems,System Notifications
18686,new invoice 0609540 & tracking from pyramid time systems,System Notifications
18687,new invoice 0609547 & tracking from pyramid time systems,System Notifications
18688,new invoice 0609548 & tracking from pyramid time systems,System Notifications
18689,new invoice 0609549 & tracking from pyramid time systems,System Notifications
18690,sears marketplace notification - products in your catalog have been reinstated,Delivery Status and Failures
18691,immediate charge back case#  pp-r-tyi-510622599,Disputes and Cases
18692,freshen up your space with savings on dã©cor and organization.,Customer Messages
18693,return policy inquiry from amazon customer curitis stephens,Customer Inquiries
18694,"you have been paid: elizabeth taylor diamonds and sapphires for women, eau de toilette spray #33437",Delivery Status and Failures
18695,customer service chat transcript - sr# 1-472306844251,Customer Messages
18696,your dispute cases have received a resolution,Disputes and Cases
18697,december 2023 trade insights exploring the global market trends,System Notifications
18698,we have received your dispute case #06235892!,Disputes and Cases
18699,"new customer message on january 9, 2024 at 1:35 am",Customer Messages
18700,we have received your dispute case #06235756!,Disputes and Cases
18701,share your docs via linktofill,Customer Messages
18702,shipping inquiry from amazon customer candice,Customer Inquiries
18703,order never received at logistics facility # gmit-702-9955764-8895449,Invoices and Support
18704,your fedex claim has been denied,Customer Inquiries
18705,"largedistant1219 has sent a question about item #355023787048, ending on 08-feb-2024 12:42:15 ist - df 8oz reptile relief",Delivery Status and Failures
18706,we have updated your fedex claim resolution,Promotions and Offers
18707,your email to terri callow,New Orders and Shipments
18708,nan,Miscellaneous/Unknown
18709,nan,Miscellaneous/Unknown
18710,sand_koc sent a message about vidaxl outdoor greenhouse large portable gardening plant hot house #195904222708,Customer Messages
18711,re: customer service requests,Order Requests and Tickets
18712,order manifest for 01/09/2024 12:01:00,Order Requests and Tickets
18713,re: eatinla sent a message about corn pal puppet #354938446994,Delivery Status and Failures
18714,detected login from a new location,New Orders and Shipments
18715,melrose international orders on hold.  virventures inc (drop ship).   drop ship,Disputes and Cases
18716,need to cancel the order seller id : nonm-thp3200110992977081-1,Order Requests and Tickets
18717,"amanda, it is not too late!",Delivery Status and Failures
18718,updates for you: 4 new notifications,New Orders and Shipments
18719,complete your tds before the deadline,Invoices and Support
18720,complete your tds before the deadline,Invoices and Support
18721,buybox items details report is ready.,Customer Inquiries
18722,sears marketplace notification - urgent message regarding the status of your products,Delivery Status and Failures
18723,sumbody website sale,Miscellaneous/Unknown
18724,usjaco_f3jxbl3 sent a message about triple threat flag football belts - blue #364590815737,Delivery Status and Failures
18725,tra.net.8rbkoukg sent a message about viper guardian dartboard surround red #126027849855,Delivery Status and Failures
18726,"message from walmart.com customer, ref id: 0c41f81dbf3f4be987c54dfef41b61c3",Customer Messages
18727,re: 0[virventures#virfc1415ca],Customer Inquiries
18728,"bb_brin sent a message about multipore dry surgical tape, 1 x 5-1/2 yd. #355197243844""",Delivery Status and Failures
18729,"westernoffice sent a message about lexmark 78c10k0, 78c10c0, 78c10m0, 78c10y0 toner ,toner,std,yld,rtn,bk #126084193171",Delivery Status and Failures
18730,3 new walmart marketplace orders received,New Orders and Shipments
18731,take action: one or more of your offers are not eligible to be a featured offer (buy box),Promotions and Offers
18732,"important for cs, maximize efficiency with the flex 4-tool combo kit",System Notifications
18733,"johnc4294 has sent a question about item #364561145615, ending on 03-feb-2024 12:13:18 ist - advantage signature elite java church chair - 20 in. wide",Delivery Status and Failures
18734,sears order notification: po 1710585,Delivery Status and Failures
18735,virventures tracking report from advanced graphics 01/08/2024,Customer Inquiries
18736,"kevin_xail sent a message about vism by ncstar discreet plate carrier (up to 11x14"" armor plate pocket)/ fit... #195904210348""",Delivery Status and Failures
18737,last chance: how was business in 2023?,System Notifications
18738,re:[case 14595568851] request order reimbursement,Order Requests and Tickets
18739,you have a message waiting for you,Customer Messages
18740,5ave - shipped order notification,Order Requests and Tickets
18741,order cancelation request for order id: 111-1942693-0349042,Order Requests and Tickets
18742,thank you for creating a new case: 14595568851,Disputes and Cases
18743,"your package has arrived: elizabeth taylor diamonds and sapphires for women, eau de toilette spray #33437",Delivery Status and Failures
18744,product details inquiry from amazon customer vernon h. gottel,Customer Inquiries
18745,8 new walmart marketplace orders received,New Orders and Shipments
18746,"you have been rated: elizabeth taylor diamonds and sapphires for women, eau de toilette spray #33437",Delivery Status and Failures
18747,your e-mail to kevin singleton,Customer Inquiries
18748,your returns label is ready,New Orders and Shipments
18749,shipping: phiva_24 sent a message about 41/64 reduced shank hss drill bit,Delivery Status and Failures
18750,"slsk-17 has sent a question about item #196009947412, ending on 03-feb-2024 04:00:20 ist - parsons pantry in white",Delivery Status and Failures
18751,"jamaaha-0 sent a message about snow leopard 26 laying #374995822528""",Delivery Status and Failures
18752,fedex shipment 774721212718: all of these shipments were tendered to fedex ground,New Orders and Shipments
18753,delivery status notification (failure),Delivery Status and Failures
18754,ticket has been created for order id #thp8100108977302713-1,Order Requests and Tickets
18755,ticket has been created for order id #thp8600109998288057-2,Order Requests and Tickets
18756,credit memo for vir ventures inc. for invoice number - inv-16519891,Invoices and Support
18757,your email to amazon.com marketplace,New Orders and Shipments
18758,credit request for po  has been submitted    [ ref:!00d700kccm.!5004u02zskcg:ref ],Customer Messages
18759,credit memo for vir ventures inc. for invoice number - inv-16506533,Invoices and Support
18760,"er_2711593 has sent a question about item #354964989639, ending on 07-feb-2024 13:52:56 ist - entertainment center",Delivery Status and Failures
18761,re: [external] claim status update - case #c-133127634,Customer Inquiries
18762,credit memo for vir ventures inc. for invoice number - inv-16538504,Invoices and Support
18763,credit memo for vir ventures inc. for invoice number - inv-16560462,Invoices and Support
18764,credit memo for vir ventures inc. for invoice number - inv-16560561,Invoices and Support
18765,credit memo for vir ventures inc. for invoice number - inv-16485349,Invoices and Support
18766,automatic reply: 613283761,Delivery Status and Failures
18767,credit memo for vir ventures inc. for invoice number - inv-16560525,Invoices and Support
18768,ready for pick up in houston now,New Orders and Shipments
18769,credit memo for vir ventures inc. for invoice number - inv-16572799,Invoices and Support
18770,credit memo for vir ventures inc. for invoice number - inv-16555799,Invoices and Support
18771,credit memo for vir ventures inc. for invoice number - inv-16598144,Invoices and Support
18772,credit memo for vir ventures inc. for invoice number - inv-16213601,Invoices and Support
18773,inquiry from amazon customer timothy lambert,Customer Inquiries
18774,delivery status notification (failure),Delivery Status and Failures
18775,"message from walmart.com customer, ref id: 5ee5dd9e510c4c4697bcc98af3f1cf7c",Customer Messages
18776,create your 2024 marketing calendar,Delivery Status and Failures
18777,final warning: walmart marketplace partner performance notification    [ ref:!00d610zktc.!5008y02ljeaa:ref ],Delivery Status and Failures
18778,your e-mail to betsaida baltazar,Miscellaneous/Unknown
18779,"message from walmart.com customer, ref id: 4c7feeeb684545a594e54182f9f324bd",Customer Messages
18780,sweat in style: oakley is fitness essentials await!,Invoices and Support
18781,final warning: walmart marketplace partner performance notification    [ ref:!00d610zktc.!5008y02ljddc:ref ],Delivery Status and Failures
18782,re: unshipped order-elkl,Promotions and Offers
18783,invoice 173499 from lakeland mills llc,Invoices and Support
18784,ticket has been created for order id #vv-us-cdd-1255,Order Requests and Tickets
18785,online only! last day to get 30% off all regular price purchases.,System Notifications
18786,cc declining,System Notifications
18787,consulta sobre la polã­tica de devoluciones del cliente de amazon betsaida baltazar,Delivery Status and Failures
18788,5 new walmart marketplace orders received,New Orders and Shipments
18789,inquiry from amazon customer tammi g williams(order: 114-0842125-7918642),Customer Inquiries
18790,about your order at essentialpetproducts.com,Order Requests and Tickets
18791,the post most: inspections to begin on grounded boeing max 9 jets,New Orders and Shipments
18792,fedex shipment 774721212718: all of these shipments are scheduled to be sent.,New Orders and Shipments
18793,action needed regarding your sears marketplace performance,Delivery Status and Failures
18794,order shipped to your customer,Order Requests and Tickets
18795,"fh5w599 sent a message about kingston brass cck6172 vintage rain drop shower system, polished brass #195904096457",Invoices and Support
18796,a customer is waiting for an answer on faria ktf0184 inboard 6-gauge set,Customer Messages
18797,your e-mail to susan mac donald,Customer Inquiries
18798,"message from walmart.com customer, ref id: 9c536a38208143c283cca77ac71856f7",Customer Messages
18799,msouders sent a message about broan nutone fan/light; same as model 657 except 100 cfm 4.5 sones includes a... #134666598307,Delivery Status and Failures
18800,your package has arrived: beistle fabric hats - party hats for birthday & holiday theme parties #15995,Miscellaneous/Unknown
18801,"re: virventurein sent a message about gratify 60 round dining table #195971453864""",Delivery Status and Failures
18802,"nikeairck123 has sent a question about item #364561149504, ending on 03-feb-2024 12:13:42 ist - 5 piece navy folding card table and chair set",Delivery Status and Failures
18803,shipping inquiry from amazon customer candice,Customer Inquiries
18804,item not received #webo-vir28409,Disputes and Cases
18805,[bambini infant wear] bam27463 package in transit,Miscellaneous/Unknown
18806,1 new walmart marketplace orders received,New Orders and Shipments
18807,re: [external] claim status update,Customer Inquiries
18808,daily order snapshot report,Order Requests and Tickets
18809,request to cancel this order: jelenocke_0 sent a message about dii french blue farmhouse gingham table runner #134845060127,Delivery Status and Failures
18810,filtrete air filters from $4 | $19 patio umbrella | new balance | $49 keurig,Customer Messages
18811,new order received,New Orders and Shipments
18812,nan,Miscellaneous/Unknown
18813,[bambini infant wear] bam27469 package in transit,Miscellaneous/Unknown
18814,ticket has been created for order id #vv-us-cdd-1254,Order Requests and Tickets
18815,we have created this case 06206081 on your behalf    [ ref:!00d610zktc.!5008y02lisgn:ref ],Customer Messages
18816,tips to resolve client conflicts,Delivery Status and Failures
18817,invoice from aps,Invoices and Support
18818,product details inquiry from amazon customer kevin singleton,Customer Inquiries
18819,your e-mail to lisa schulze,New Orders and Shipments
18820,your e-mail to candice,Miscellaneous/Unknown
